Distance in m,Latitude in °,Longitude in °,Altitude in °,X in m,Y in m,Z in m,v_max_day in km/h,v_max_night in km/h,Station,Switch,Urban
12930.22966,49.8109928,8.646113077,165.6663821,4077186.11,619973.3096,4849375.893,30,FALSE,Friedhof,FALSE,TRUE
,49.81099185,8.646112906,165.6681127,4077186.193,619973.3098,4849375.826,30,FALSE,FALSE,FALSE,TRUE
,49.81099089,8.646112737,165.6694993,4077186.276,619973.3101,4849375.758,30,FALSE,FALSE,FALSE,TRUE
,49.81098993,8.646112566,165.6715818,4077186.36,619973.3105,4849375.691,30,FALSE,FALSE,FALSE,TRUE
,49.81098897,8.646112397,165.6732769,4077186.444,619973.3108,4849375.623,30,FALSE,FALSE,FALSE,TRUE
,49.81098801,8.646112227,165.6750719,4077186.527,619973.3112,4849375.555,30,FALSE,FALSE,FALSE,TRUE
,49.81098704,8.646112057,165.676612,4077186.611,619973.3116,4849375.487,30,FALSE,FALSE,FALSE,TRUE
,49.81098608,8.646111892,165.6781425,4077186.695,619973.3122,4849375.42,30,FALSE,FALSE,FALSE,TRUE
,49.81098512,8.646111721,165.6799675,4077186.779,619973.3125,4849375.352,30,FALSE,FALSE,FALSE,TRUE
,49.81098415,8.646111552,165.6818695,4077186.863,619973.313,4849375.284,30,FALSE,FALSE,FALSE,TRUE
,49.81098319,8.646111383,165.6835718,4077186.947,619973.3135,4849375.216,30,FALSE,FALSE,FALSE,TRUE
,49.81098222,8.646111215,165.685273,4077187.031,619973.314,4849375.148,30,FALSE,FALSE,FALSE,TRUE
,49.81098125,8.646111046,165.6864499,4077187.115,619973.3145,4849375.079,30,FALSE,FALSE,FALSE,TRUE
,49.81098029,8.646110878,165.6886618,4077187.199,619973.3151,4849375.012,30,FALSE,FALSE,FALSE,TRUE
,49.81097932,8.646110709,165.6901726,4077187.283,619973.3156,4849374.943,30,FALSE,FALSE,FALSE,TRUE
,49.81097835,8.646110541,165.6919792,4077187.368,619973.3162,4849374.875,30,FALSE,FALSE,FALSE,TRUE
,49.81097738,8.646110372,165.693534,4077187.452,619973.3167,4849374.807,30,FALSE,FALSE,FALSE,TRUE
,49.81097641,8.646110205,165.6945837,4077187.536,619973.3174,4849374.738,30,FALSE,FALSE,FALSE,TRUE
,49.81097544,8.646110036,165.6966882,4077187.621,619973.3179,4849374.67,30,FALSE,FALSE,FALSE,TRUE
,49.81097446,8.646109866,165.6985132,4077187.705,619973.3185,4849374.601,30,FALSE,FALSE,FALSE,TRUE
,49.81097349,8.646109698,165.7001331,4077187.79,619973.3191,4849374.533,30,FALSE,FALSE,FALSE,TRUE
,49.81097252,8.646109528,165.7018559,4077187.875,619973.3196,4849374.464,30,FALSE,FALSE,FALSE,TRUE
,49.81097155,8.646109366,165.7033817,4077187.959,619973.3206,4849374.395,30,FALSE,FALSE,FALSE,TRUE
,49.81097057,8.64610919,165.7053088,4077188.045,619973.3208,4849374.327,30,FALSE,FALSE,FALSE,TRUE
,49.81096959,8.646109019,165.7069371,4077188.129,619973.3213,4849374.258,30,FALSE,FALSE,FALSE,TRUE
,49.81096861,8.646108849,165.7085602,4077188.214,619973.3218,4849374.189,30,FALSE,FALSE,FALSE,TRUE
,49.81096764,8.646108679,165.7102844,4077188.3,619973.3224,4849374.12,30,FALSE,FALSE,FALSE,TRUE
,49.81096665,8.646108509,165.7116986,4077188.385,619973.3229,4849374.051,30,FALSE,FALSE,FALSE,TRUE
,49.81096568,8.64610834,165.7135853,4077188.47,619973.3235,4849373.982,30,FALSE,FALSE,FALSE,TRUE
,49.8109647,8.646108169,165.7151163,4077188.555,619973.3241,4849373.913,30,FALSE,FALSE,FALSE,TRUE
,49.81096372,8.646107998,165.7169419,4077188.64,619973.3246,4849373.844,30,FALSE,FALSE,FALSE,TRUE
,49.81096273,8.646107827,165.7185687,4077188.726,619973.3251,4849373.775,30,FALSE,FALSE,FALSE,TRUE
,49.81096175,8.646107656,165.7201681,4077188.811,619973.3256,4849373.705,30,FALSE,FALSE,FALSE,TRUE
,49.81096077,8.646107485,165.7222588,4077188.897,619973.3262,4849373.636,30,FALSE,FALSE,FALSE,TRUE
,49.81095978,8.646107313,165.7242407,4077188.983,619973.3268,4849373.567,30,FALSE,FALSE,FALSE,TRUE
,49.8109588,8.64610714,165.7258324,4077189.068,619973.3272,4849373.498,30,FALSE,FALSE,FALSE,TRUE
,49.81095781,8.646106968,165.7278653,4077189.154,619973.3278,4849373.428,30,FALSE,FALSE,FALSE,TRUE
,49.81095682,8.646106794,165.7297491,4077189.24,619973.3282,4849373.359,30,FALSE,FALSE,FALSE,TRUE
